t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
 1287971 ;    5578 ;    N   ;        280 ;  15930 ; saida
 1288035 ;    5500 ;    O   ;        400 ;  24520 ; saida
 1284741 ;    5582 ;    O   ;        280 ;      ? ; entrada
 1284767 ;    5572 ;    E   ;        320 ;  13286 ; saida
 1284783 ;    5520 ;    O   ;         40 ;      ? ; entrada
 1288149 ;    5582 ;    O   ;        280 ;  15755 ; saida
 1288223 ;    5520 ;    O   ;         40 ;  18241 ; saida
 1284798 ;    5518 ;    E   ;        360 ;      ? ; entrada
 1288285 ;    5595 ;    N   ;        200 ;  14025 ; saida
 1288363 ;    5518 ;    E   ;        360 ;  18732 ; saida
 1288455 ;    5577 ;    N   ;        320 ;      ? ; entrada
 1284813 ;    5591 ;    N   ;        200 ;      ? ; entrada
 1284848 ;    5300 ;    S   ;        320 ; 118426 ; saida
 1288678 ;    5591 ;    N   ;        200 ;  13864 ; saida
 1284869 ;    5341 ;    S   ;        200 ;      ? ; entrada
 1288815 ;    5341 ;    S   ;        200 ; 116661 ; saida
 1284887 ;    5536 ;    N   ;        200 ;      ? ; entrada
 1288913 ;    5536 ;    N   ;        200 ;   8874 ; saida
 1284947 ;    5319 ;    S   ;         40 ;      ? ; entrada
 1284967 ;    5335 ;    S   ;        240 ;      ? ; entrada
 1289014 ;    5319 ;    S   ;         40 ; 119725 ; saida
 1289035 ;    5335 ;    S   ;        240 ; 117769 ; saida
 1284985 ;    5340 ;    S   ;         80 ;      ? ; entrada
 1289172 ;    5340 ;    S   ;         80 ; 117066 ; saida
 1285005 ;    5322 ;    S   ;        280 ;      ? ; entrada
 1289258 ;    5577 ;    N   ;        320 ;  17325 ; saida
 1289312 ;    5322 ;    S   ;        280 ; 119910 ; saida
 1285020 ;    5581 ;    E   ;        360 ;      ? ; entrada
 1285042 ;    5589 ;    E   ;        360 ;      ? ; cheio!
 1285057 ;    5583 ;    E   ;        280 ;      ? ; cheio!
 1285074 ;    5345 ;    S   ;         40 ;      ? ; entrada
 1289425 ;    5581 ;    E   ;        360 ;  17179 ; saida
 1289515 ;    5345 ;    S   ;         40 ; 116612 ; saida
 1285088 ;    5650 ;    O   ;         80 ;      ? ; entrada
 1289646 ;    5650 ;    O   ;         80 ;   7327 ; saida
 1289907 ;    5330 ;    S   ;         80 ;      ? ; entrada
 1290052 ;    5330 ;    S   ;         80 ; 119235 ; saida
 1290515 ;    5507 ;    O   ;        160 ;      ? ; entrada
 1290584 ;    5507 ;    O   ;        160 ;  26277 ; saida
 1290750 ;    5574 ;    E   ;        120 ;      ? ; entrada
 1290815 ;    5574 ;    E   ;        120 ;  18917 ; saida
 1290916 ;    5608 ;    N   ;        120 ;      ? ; entrada
 1290961 ;    5608 ;    N   ;        120 ;  11354 ; saida
 1291032 ;    5489 ;    O   ;        400 ;      ? ; entrada
 1291054 ;    5489 ;    O   ;        400 ;  28577 ; saida
 1285284 ;    5530 ;    O   ;        360 ;      ? ; entrada
 1291108 ;    5530 ;    O   ;        360 ;   9770 ; saida
 1291108 ;    5521 ;    O   ;        280 ;      ? ; entrada
 1291135 ;    5521 ;    O   ;        280 ;  21391 ; saida
 1291181 ;    5603 ;    O   ;         40 ;      ? ; entrada
 1291194 ;    5353 ;    S   ;         40 ;      ? ; entrada
 1291211 ;    5603 ;    O   ;         40 ;  15551 ; saida
 1291233 ;    5353 ;    S   ;         40 ; 115475 ; saida
 1291250 ;    5602 ;    N   ;        120 ;      ? ; entrada
 1285414 ;    5556 ;    O   ;        200 ;      ? ; entrada
 1291281 ;    5602 ;    N   ;        120 ;  15764 ; saida
 1291320 ;    5556 ;    O   ;        200 ;   9878 ; saida
 1291330 ;    5525 ;    E   ;        360 ;  22916 ; saida
 1285777 ;    5544 ;    O   ;        280 ;      ? ; entrada
 1291391 ;    5526 ;    E   ;        320 ;  22883 ; saida
 1291405 ;    5544 ;    O   ;        280 ;  11066 ; saida
 1291434 ;    5564 ;    N   ;         40 ;      ? ; entrada
 1286208 ;    5497 ;    N   ;        160 ;      ? ; entrada
 1291462 ;    5564 ;    N   ;         40 ;  11548 ; saida
 1291490 ;    5497 ;    N   ;        160 ;  28014 ; saida
 1291497 ;    5488 ;    N   ;        160 ;      ? ; entrada
 1291525 ;    5488 ;    N   ;        160 ;  11554 ; saida
 1286238 ;    5498 ;    O   ;        200 ;      ? ; entrada
 1291568 ;    5563 ;    N   ;        240 ;      ? ; entrada
 1291573 ;    5498 ;    O   ;        200 ;  28077 ; saida
 1291594 ;    5563 ;    N   ;        240 ;  20157 ; saida
 1286262 ;    5539 ;    O   ;        200 ;      ? ; entrada
 1291635 ;    5612 ;    O   ;        280 ;      ? ; entrada
 1291662 ;    5612 ;    O   ;        280 ;  13689 ; saida
 1291655 ;    5539 ;    O   ;        200 ;  23830 ; saida
 1291700 ;    5611 ;    O   ;        240 ;      ? ; entrada
 1286300 ;    5510 ;    O   ;         80 ;      ? ; entrada
 1291728 ;    5611 ;    O   ;        240 ;  13666 ; saida
 1291740 ;    5510 ;    O   ;         80 ;  27067 ; saida
 1291766 ;    5615 ;    N   ;         40 ;      ? ; entrada
 1286344 ;    5579 ;    O   ;        400 ;      ? ; entrada
 1291797 ;    5615 ;    N   ;         40 ;  14349 ; saida
 1291823 ;    5579 ;    O   ;        400 ;  19797 ; saida
 1286381 ;    5517 ;    E   ;        360 ;      ? ; cheio!
 1286411 ;    5533 ;    O   ;        320 ;      ? ; entrada
 1291968 ;    5533 ;    O   ;        320 ;  23912 ; saida
 1286439 ;    5597 ;    N   ;        280 ;      ? ; entrada
 1292016 ;    5597 ;    N   ;        280 ;  16971 ; saida
 1286470 ;    5599 ;    N   ;        160 ;      ? ; entrada
 1292061 ;    5599 ;    N   ;        160 ;  16773 ; saida
 1286508 ;    5598 ;    N   ;        160 ;  11280 ; saida
 1286569 ;    5594 ;    O   ;        120 ;  11472 ; saida
 1285113 ;    5654 ;    O   ;        120 ;      ? ; entrada
 1292147 ;    5654 ;    O   ;        120 ;   9378 ; saida
 1292517 ;    5545 ;    N   ;         40 ;      ? ; entrada
 1292583 ;    5545 ;    N   ;         40 ;  11951 ; saida
 1292652 ;    5553 ;    N   ;         80 ;      ? ; entrada
 1292705 ;    5553 ;    N   ;         80 ;  11673 ; saida
 1292756 ;    5674 ;    O   ;        160 ;      ? ; entrada
 1292788 ;    5674 ;    O   ;        160 ;   7614 ; saida
 1292830 ;    5676 ;    O   ;        400 ;      ? ; entrada
 1292856 ;    5676 ;    O   ;        400 ;   7690 ; saida
 1292891 ;    5680 ;    O   ;         40 ;      ? ; entrada
 1292916 ;    5680 ;    O   ;         40 ;   7014 ; saida
 1292950 ;    5557 ;    E   ;        120 ;      ? ; entrada
 1292977 ;    5557 ;    E   ;        120 ;  11798 ; saida
 1293045 ;    5561 ;    E   ;        200 ;      ? ; entrada
 1293077 ;    5561 ;    E   ;        200 ;  11807 ; saida
 1293111 ;    5562 ;    E   ;        200 ;      ? ; entrada
 1293138 ;    5562 ;    E   ;        200 ;  11815 ; saida
 1293172 ;    5610 ;    E   ;         80 ;      ? ; entrada
 1293197 ;    5610 ;    E   ;         80 ;  13459 ; saida
 1293233 ;    5549 ;    E   ;        400 ;      ? ; entrada
 1293266 ;    5549 ;    E   ;        400 ;  12806 ; saida
 1293303 ;    5541 ;    E   ;        160 ;      ? ; entrada
 1293335 ;    5541 ;    E   ;        160 ;  13078 ; saida
 1293372 ;    5567 ;    E   ;        160 ;      ? ; entrada
 1293402 ;    5567 ;    E   ;        160 ;  13478 ; saida
 1293452 ;    5532 ;    N   ;        160 ;      ? ; entrada
 1293465 ;    5543 ;    N   ;         40 ;      ? ; entrada
 1293514 ;    5532 ;    N   ;        160 ;  13094 ; saida
 1293526 ;    5543 ;    N   ;         40 ;  13041 ; saida
 1293596 ;    5631 ;    E   ;        240 ;      ? ; entrada
 1293626 ;    5542 ;    E   ;        400 ;      ? ; entrada
 1293659 ;    5631 ;    E   ;        240 ;   6591 ; saida
 1293684 ;    5542 ;    E   ;        400 ;  13604 ; saida
 1293732 ;    5623 ;    E   ;        120 ;      ? ; entrada
 1293773 ;    5645 ;    O   ;        320 ;      ? ; entrada
 1293785 ;    5623 ;    E   ;        120 ;   5498 ; saida
 1293827 ;    5645 ;    O   ;        320 ;   9826 ; saida
 1293865 ;    5683 ;    O   ;        240 ;      ? ; entrada
 1293906 ;    5546 ;    N   ;        320 ;      ? ; entrada
 1293929 ;    5683 ;    O   ;        240 ;   7850 ; saida
 1293964 ;    5546 ;    N   ;        320 ;  13561 ; saida
 1294002 ;    5643 ;    E   ;        400 ;      ? ; entrada
 1294041 ;    5547 ;    N   ;        280 ;      ? ; entrada
 1294048 ;    5626 ;    E   ;        360 ;      ? ; entrada
 1294094 ;    5547 ;    N   ;        280 ;  13607 ; saida
 1294105 ;    5626 ;    E   ;        360 ;   7535 ; saida
 1294165 ;    5548 ;    N   ;        160 ;      ? ; entrada
 1294295 ;    5628 ;    O   ;        240 ;      ? ; entrada
 1294332 ;    5628 ;    O   ;        240 ;   7492 ; saida
 1294374 ;    5630 ;    O   ;        280 ;      ? ; entrada
 1294404 ;    5630 ;    O   ;        280 ;   7456 ; saida
 1294453 ;    5633 ;    O   ;         80 ;      ? ; entrada
 1294486 ;    5633 ;    O   ;         80 ;   7169 ; saida
 1294535 ;    5640 ;    O   ;        400 ;      ? ; entrada
 1294560 ;    5640 ;    O   ;        400 ;   7036 ; saida
 1294593 ;    5641 ;    O   ;        160 ;      ? ; entrada
 1294617 ;    5641 ;    O   ;        160 ;   6757 ; saida
 1294675 ;    5685 ;    E   ;         40 ;      ? ; entrada
 1294702 ;    5685 ;    E   ;         40 ;   8193 ; saida
 1294890 ;    5499 ;    S   ;         80 ;      ? ; entrada
 1294981 ;    5643 ;    E   ;        400 ;  13635 ; saida
 1295082 ;    5605 ;    E   ;        160 ;      ? ; entrada
 1295149 ;    5605 ;    E   ;        160 ;  19531 ; saida
 1295187 ;    5607 ;    E   ;         40 ;      ? ; entrada
 1295207 ;    5607 ;    E   ;         40 ;  15342 ; saida
 1295239 ;    5560 ;    E   ;        120 ;      ? ; entrada
 1295263 ;    5560 ;    E   ;        120 ;  14035 ; saida
 1295286 ;    5565 ;    E   ;        320 ;      ? ; entrada
 1295303 ;    5565 ;    E   ;        320 ;  15630 ; saida
 1295337 ;    5503 ;    S   ;         80 ;      ? ; entrada
 1295342 ;    5649 ;    E   ;        200 ;      ? ; entrada
 1295384 ;    5503 ;    S   ;         80 ;  31296 ; saida
 1295386 ;    5649 ;    E   ;        200 ;  13334 ; saida
 1295448 ;    5655 ;    E   ;        400 ;      ? ; entrada
 1295470 ;    5492 ;    S   ;        360 ;      ? ; entrada
 1294945 ;    5499 ;    S   ;         80 ;  31215 ; saida
 1295504 ;    5655 ;    E   ;        400 ;  12956 ; saida
 1295521 ;    5551 ;    N   ;        280 ;      ? ; entrada
 1295572 ;    5551 ;    N   ;        280 ;  14951 ; saida
 1295584 ;    5622 ;    O   ;        400 ;      ? ; entrada
 1295627 ;    5622 ;    O   ;        400 ;   7707 ; saida
 1295634 ;    5548 ;    N   ;        160 ;  14990 ; saida
 1296094 ;    5421 ;    S   ;         40 ;      ? ; entrada
 1296201 ;    5421 ;    S   ;         40 ;  43658 ; saida
 1296375 ;    5452 ;    S   ;        360 ;      ? ; entrada
 1296456 ;    5452 ;    S   ;        360 ;  39856 ; saida
 1296483 ;    5495 ;    S   ;         40 ;      ? ; entrada
 1296525 ;    5495 ;    S   ;         40 ;  33116 ; saida
 1296617 ;    5580 ;    S   ;         80 ;      ? ; entrada
 1296662 ;    5580 ;    S   ;         80 ;  24243 ; saida
 1296689 ;    5496 ;    S   ;        200 ;      ? ; entrada
 1296730 ;    5496 ;    S   ;        200 ;  33412 ; saida
 1296790 ;    5569 ;    S   ;        200 ;      ? ; entrada
 1296805 ;    5569 ;    S   ;        200 ;  25589 ; saida
 1296839 ;    5573 ;    S   ;        200 ;      ? ; entrada
 1296852 ;    5573 ;    S   ;        200 ;  25176 ; saida
 1296885 ;    5575 ;    S   ;        400 ;      ? ; entrada
 1296899 ;    5575 ;    S   ;        400 ;  25229 ; saida
 1296933 ;    5492 ;    S   ;        360 ;  34087 ; saida
 1296968 ;    5584 ;    S   ;        400 ;      ? ; entrada
 1297009 ;    5584 ;    S   ;        400 ;  24594 ; saida
 1297039 ;    5514 ;    S   ;        240 ;      ? ; entrada
 1297084 ;    5514 ;    S   ;        240 ;  27264 ; saida
 1297152 ;    5586 ;    S   ;        400 ;      ? ; entrada
 1297304 ;    5587 ;    S   ;        240 ;      ? ; entrada
 1297559 ;    5587 ;    S   ;        240 ;  24721 ; saida
 1298443 ;    5593 ;    S   ;        240 ;      ? ; entrada
 1299584 ;    5708 ;    S   ;        240 ;      ? ; entrada
 1299778 ;    5513 ;    S   ;        160 ;      ? ; entrada
 1299852 ;    5513 ;    S   ;        160 ;  35007 ; saida
 1300343 ;    5522 ;    S   ;        400 ;      ? ; entrada
 1300370 ;    5708 ;    S   ;        240 ;   2268 ; saida
 1300947 ;    5522 ;    S   ;        400 ;  32736 ; saida
 1301087 ;    5620 ;    O   ;        160 ;      ? ; entrada
 1301141 ;    5620 ;    O   ;        160 ;  12108 ; saida
 1301465 ;    5413 ;    S   ;        360 ;      ? ; entrada
 1301537 ;    5413 ;    S   ;        360 ;  76688 ; saida
 1301644 ;    5515 ;    S   ;        200 ;      ? ; entrada
 1301713 ;    5515 ;    S   ;        200 ;  32027 ; saida
 1301735 ;    5568 ;    S   ;        400 ;      ? ; entrada
 1301803 ;    5568 ;    S   ;        400 ;  22322 ; saida
 1301854 ;    5446 ;    S   ;        320 ;      ? ; entrada
 1301913 ;    5446 ;    S   ;        320 ;  50168 ; saida
 1301945 ;    5529 ;    S   ;        280 ;      ? ; entrada
 1302009 ;    5529 ;    S   ;        280 ;  33784 ; saida
 1302125 ;    5558 ;    N   ;        160 ;      ? ; entrada
 1302159 ;    5709 ;    S   ;        200 ;      ? ; entrada
 1302210 ;    5651 ;    O   ;        320 ;      ? ; entrada
 1302340 ;    5558 ;    N   ;        160 ;  20900 ; saida
 1303013 ;    5666 ;    O   ;        400 ;      ? ; entrada
 1303049 ;    5651 ;    O   ;        320 ;  11736 ; saida
 1303085 ;    5675 ;    E   ;        160 ;      ? ; entrada
 1303161 ;    5658 ;    O   ;        280 ;      ? ; entrada
 1303160 ;    5442 ;    S   ;        280 ;      ? ; entrada
 1303203 ;    5658 ;    O   ;        280 ;  12934 ; saida
 1303244 ;    5719 ;    S   ;        280 ;      ? ; entrada
 1303275 ;    5719 ;    S   ;        280 ;   4395 ; saida
 1303334 ;    5442 ;    S   ;        280 ;  51247 ; saida
 1303452 ;    5600 ;    S   ;        280 ;      ? ; entrada
 1303512 ;    5600 ;    S   ;        280 ;  28267 ; saida
 1303596 ;    5443 ;    S   ;        400 ;      ? ; entrada
 1303669 ;    5601 ;    S   ;        280 ;      ? ; entrada
 1303712 ;    5506 ;    S   ;         80 ;      ? ; entrada
 1303768 ;    5506 ;    S   ;         80 ;  39453 ; saida
 1304199 ;    5694 ;    O   ;         40 ;      ? ; entrada
 1304281 ;    5694 ;    O   ;         40 ;  12453 ; saida
 1304334 ;    5434 ;    S   ;         80 ;      ? ; entrada
 1304408 ;    5434 ;    S   ;         80 ;  52016 ; saida
 1304543 ;    5443 ;    S   ;        400 ;  52535 ; saida
 1304879 ;    5653 ;    N   ;        160 ;      ? ; entrada
 1304934 ;    5653 ;    N   ;        160 ;  22250 ; saida
 1305058 ;    5652 ;    N   ;        160 ;      ? ; entrada
 1305109 ;    5469 ;    S   ;         80 ;      ? ; entrada
 1305154 ;    5455 ;    S   ;         80 ;      ? ; entrada
 1305245 ;    5455 ;    S   ;         80 ;  47237 ; saida
 1305333 ;    5648 ;    N   ;         40 ;      ? ; entrada
 1305379 ;    5460 ;    S   ;        360 ;      ? ; entrada
 1305423 ;    5460 ;    S   ;        360 ;  47367 ; saida
 1305535 ;    5666 ;    O   ;        400 ;  15982 ; saida
 1305800 ;    5693 ;    E   ;        120 ;      ? ; entrada
 1305975 ;    5466 ;    S   ;        280 ;      ? ; entrada
 1306034 ;    5648 ;    N   ;         40 ;  21817 ; saida
 1306075 ;    5410 ;    S   ;        360 ;      ? ; entrada
 1306134 ;    5679 ;    N   ;        120 ;      ? ; entrada
 1306168 ;    5679 ;    N   ;        120 ;  20424 ; saida
 1306224 ;    5410 ;    S   ;        360 ;  80797 ; saida
 1306292 ;    5484 ;    S   ;        360 ;      ? ; entrada
 1306325 ;    5484 ;    S   ;        360 ;  44224 ; saida
 1306379 ;    5613 ;    S   ;        320 ;      ? ; cheio!
 1306419 ;    5391 ;    S   ;        360 ;      ? ; entrada
 1306448 ;    5391 ;    S   ;        360 ;  78366 ; saida
 1306493 ;    5693 ;    E   ;        120 ;  15670 ; saida
 1306526 ;    5531 ;    N   ;         40 ;      ? ; entrada
 1306560 ;    5531 ;    N   ;         40 ;  25348 ; saida
 1306600 ;    5389 ;    S   ;        360 ;      ? ; entrada
 1306631 ;    5469 ;    S   ;         80 ;  47434 ; saida
 1306703 ;    5618 ;    E   ;        240 ;      ? ; cheio!
 1306847 ;    5398 ;    S   ;        160 ;      ? ; cheio!
 1306918 ;    5403 ;    S   ;        240 ;      ? ; cheio!
 1307084 ;    5703 ;    O   ;         40 ;      ? ; entrada
 1307100 ;    5356 ;    S   ;         80 ;      ? ; entrada
 1307148 ;    5703 ;    O   ;         40 ;   9328 ; saida
 1307227 ;    5624 ;    N   ;        120 ;      ? ; cheio!
 1307291 ;    5707 ;    O   ;        160 ;      ? ; entrada
 1307331 ;    5707 ;    O   ;        160 ;   9263 ; saida
 1307393 ;    5733 ;    S   ;        200 ;      ? ; cheio!
 1307500 ;    5729 ;    S   ;        320 ;      ? ; cheio!
 1307578 ;    5704 ;    O   ;        120 ;      ? ; cheio!
 1307612 ;    5727 ;    S   ;        280 ;      ? ; cheio!
 1307641 ;    5748 ;    S   ;        280 ;      ? ; cheio!
 1307670 ;    5723 ;    S   ;         80 ;      ? ; cheio!
 1308017 ;    5475 ;    S   ;         40 ;      ? ; entrada
 1308049 ;    5487 ;    S   ;        400 ;      ? ; cheio!
 1308159 ;    5606 ;    S   ;         40 ;      ? ; cheio!
 1308245 ;    5692 ;    O   ;        320 ;      ? ; cheio!
 1309702 ;    5360 ;    S   ;        280 ;      ? ; cheio!
 1309767 ;    5593 ;    S   ;        240 ;  34859 ; saida
 1309853 ;    5364 ;    S   ;        360 ;      ? ; cheio!
 1309968 ;    5377 ;    S   ;        280 ;      ? ; cheio!
 1310082 ;    5401 ;    S   ;        120 ;      ? ; cheio!
 1310183 ;    5586 ;    S   ;        400 ;  37622 ; saida
 1310242 ;    5636 ;    E   ;         80 ;      ? ; cheio!
 1311417 ;    5385 ;    S   ;        120 ;      ? ; cheio!
 1311462 ;    5682 ;    S   ;        280 ;      ? ; entrada
 1311540 ;    5629 ;    S   ;         40 ;      ? ; entrada
 1311547 ;    5682 ;    S   ;        280 ;  25669 ; saida
 1311651 ;    5629 ;    S   ;         40 ;  24536 ; saida
 1311695 ;    5646 ;    S   ;        280 ;      ? ; entrada
 1311901 ;    5416 ;    S   ;         80 ;      ? ; cheio!
 1312040 ;    5419 ;    S   ;        320 ;      ? ; cheio!
 1312184 ;    5428 ;    S   ;         40 ;      ? ; cheio!
 1312299 ;    5429 ;    S   ;        200 ;      ? ; cheio!
 1312423 ;    5435 ;    S   ;        160 ;      ? ; cheio!
 1312507 ;    5609 ;    S   ;        360 ;      ? ; cheio!
 1312632 ;    5550 ;    S   ;         80 ;      ? ; entrada
 1312677 ;    5550 ;    S   ;         80 ;  31876 ; saida
 1312819 ;    5644 ;    S   ;         80 ;      ? ; entrada
 1313002 ;    5644 ;    S   ;         80 ;  24926 ; saida
 1313034 ;    5621 ;    S   ;        360 ;      ? ; entrada
 1313521 ;    5621 ;    S   ;        360 ;  25642 ; saida
 1313573 ;    5684 ;    S   ;        280 ;      ? ; entrada
 1314147 ;    5684 ;    S   ;        280 ;  27290 ; saida
 1314177 ;    5617 ;    S   ;        360 ;      ? ; entrada
 1314803 ;    5617 ;    S   ;        360 ;  26208 ; saida
 1314866 ;    5670 ;    S   ;        360 ;      ? ; entrada
 1314885 ;    5661 ;    S   ;        320 ;      ? ; cheio!
 1315006 ;    5637 ;    E   ;        360 ;      ? ; cheio!
 1315050 ;    5554 ;    S   ;        320 ;      ? ; entrada
 1315085 ;    5554 ;    S   ;        320 ;  34257 ; saida
 1315133 ;    5647 ;    S   ;        200 ;      ? ; entrada
 1315170 ;    5647 ;    S   ;        200 ;  31185 ; saida
 1315257 ;    5646 ;    S   ;        280 ;  27680 ; saida
 1315332 ;    5566 ;    S   ;        160 ;      ? ; cheio!
 1315435 ;    5537 ;    S   ;        360 ;      ? ; cheio!
 1315443 ;    5356 ;    S   ;         80 ; 138754 ; saida
 1315571 ;    5538 ;    S   ;         80 ;      ? ; cheio!
 1315661 ;    5552 ;    S   ;        200 ;      ? ; cheio!
 1315718 ;    5673 ;    S   ;        400 ;      ? ; cheio!
 1315778 ;    5702 ;    S   ;         80 ;      ? ; cheio!
 1315845 ;    5766 ;    E   ;        280 ;      ? ; entrada
 1315877 ;    5766 ;    E   ;        280 ;   7431 ; saida
 1315947 ;    5601 ;    S   ;        280 ;  40652 ; saida
 1315998 ;    5535 ;    S   ;         80 ;      ? ; cheio!
 1316052 ;    5604 ;    S   ;        120 ;      ? ; entrada
 1316085 ;    5604 ;    S   ;        120 ;  40459 ; saida
 1316143 ;    5639 ;    E   ;        120 ;      ? ; entrada
 1316194 ;    5639 ;    E   ;        120 ;  28542 ; saida
 1316302 ;    5764 ;    E   ;        320 ;      ? ; entrada
 1316349 ;    5764 ;    E   ;        320 ;   8047 ; saida
 1316273 ;    5663 ;    O   ;         40 ;      ? ; entrada
 1316319 ;    5663 ;    O   ;         40 ;  27102 ; saida
 1316358 ;    5783 ;    E   ;        160 ;      ? ; entrada
 1316401 ;    5677 ;    S   ;        400 ;      ? ; entrada
 1316438 ;    5677 ;    S   ;        400 ;  31186 ; saida
 1316431 ;    5670 ;    S   ;        360 ;  26487 ; saida
 1316665 ;    5665 ;    E   ;         40 ;      ? ; entrada
 1316704 ;    5669 ;    S   ;        280 ;      ? ; cheio!
 1316744 ;    5665 ;    E   ;         40 ;  27352 ; saida
 1316806 ;    5668 ;    E   ;         80 ;      ? ; entrada
 1316847 ;    5709 ;    S   ;        200 ;  18688 ; saida
 1316896 ;    5668 ;    E   ;         80 ;  26750 ; saida
 1316956 ;    5652 ;    N   ;        160 ;  34127 ; saida
 1317001 ;    5671 ;    E   ;        280 ;      ? ; entrada
 1317108 ;    5456 ;    S   ;         80 ;      ? ; entrada
 1317148 ;    5456 ;    S   ;         80 ;  59102 ; saida
 1317289 ;    5457 ;    S   ;        360 ;      ? ; entrada
 1317323 ;    5457 ;    S   ;        360 ;  59500 ; saida
 1317409 ;    5720 ;    O   ;        160 ;      ? ; entrada
 1317418 ;    5671 ;    E   ;        280 ;  27383 ; saida
 1317443 ;    5720 ;    O   ;        160 ;  18376 ; saida
 1318087 ;    5701 ;    E   ;        360 ;      ? ; entrada
 1318109 ;    5656 ;    S   ;        360 ;      ? ; entrada
 1318134 ;    5656 ;    S   ;        360 ;  27788 ; saida
 1318195 ;    5711 ;    E   ;        160 ;      ? ; entrada
 1318248 ;    5686 ;    E   ;        320 ;      ? ; entrada
 1318283 ;    5711 ;    E   ;        160 ;  19929 ; saida
 1318298 ;    5687 ;    E   ;         40 ;      ? ; entrada
 1318356 ;    5687 ;    E   ;         40 ;  25907 ; saida
 1318417 ;    5715 ;    E   ;        120 ;      ? ; entrada
 1318447 ;    5691 ;    E   ;        160 ;      ? ; entrada
 1318471 ;    5691 ;    E   ;        160 ;  26255 ; saida
 1318524 ;    5715 ;    E   ;        120 ;  19823 ; saida
 1318563 ;    5632 ;    N   ;        120 ;      ? ; entrada
 1318613 ;    5632 ;    N   ;        120 ;  31376 ; saida
 1318651 ;    5716 ;    E   ;        120 ;      ? ; entrada
 1318688 ;    5664 ;    E   ;         80 ;      ? ; entrada
 1318715 ;    5664 ;    E   ;         80 ;  29459 ; saida
 1318744 ;    5716 ;    E   ;        120 ;  19938 ; saida
 1318835 ;    5688 ;    S   ;        320 ;      ? ; cheio!
 1319777 ;    5745 ;    E   ;        280 ;      ? ; entrada
 1320098 ;    5745 ;    E   ;        280 ;  15124 ; saida
 1320185 ;    5675 ;    E   ;        160 ;  34849 ; saida
 1320214 ;    5686 ;    E   ;        320 ;  28013 ; saida
 1320254 ;    5712 ;    E   ;        160 ;      ? ; entrada
 1320282 ;    5555 ;    N   ;        160 ;      ? ; entrada
 1320330 ;    5555 ;    N   ;        160 ;  39281 ; saida
 1320494 ;    5678 ;    N   ;        160 ;      ? ; entrada
 1320555 ;    5678 ;    N   ;        160 ;  34964 ; saida
 1320709 ;    5712 ;    E   ;        160 ;  15423 ; saida
 1320858 ;    5760 ;    E   ;        400 ;      ? ; entrada
 1321133 ;    5774 ;    E   ;        160 ;      ? ; entrada
 1321269 ;    5756 ;    E   ;        320 ;      ? ; entrada
 1321285 ;    5760 ;    E   ;        400 ;  15927 ; saida
 1321339 ;    5756 ;    E   ;        320 ;  15989 ; saida
 1321466 ;    5774 ;    E   ;        160 ;  11123 ; saida
 1321983 ;    5732 ;    E   ;        240 ;      ? ; entrada
 1322048 ;    5732 ;    E   ;        240 ;  17502 ; saida
 1322198 ;    5700 ;    S   ;         40 ;      ? ; entrada
 1322257 ;    5700 ;    S   ;         40 ;  16797 ; saida
 1322355 ;    5731 ;    E   ;        160 ;      ? ; entrada
 1322360 ;    5783 ;    E   ;        160 ;  12146 ; saida
 1322395 ;    5731 ;    E   ;        160 ;  21281 ; saida
 1322437 ;    5701 ;    E   ;        360 ;  25100 ; saida
 1322528 ;    5743 ;    E   ;        240 ;      ? ; entrada
 1322568 ;    5743 ;    E   ;        240 ;  20390 ; saida
 1322635 ;    5749 ;    E   ;        200 ;      ? ; entrada
 1322674 ;    5749 ;    E   ;        200 ;  20140 ; saida
 1324622 ;    5478 ;    S   ;         40 ;      ? ; entrada
 1324708 ;    5478 ;    S   ;         40 ;  62949 ; saida
 1325077 ;    5466 ;    S   ;        280 ;  64989 ; saida
 1325327 ;    5480 ;    S   ;        360 ;      ? ; entrada
 1325377 ;    5480 ;    S   ;        360 ;  64201 ; saida
 1325678 ;    5726 ;    S   ;        200 ;      ? ; entrada
 1325821 ;    5475 ;    S   ;         40 ;  63249 ; saida
 1325976 ;    5696 ;    O   ;        120 ;      ? ; entrada
 1326014 ;    5696 ;    O   ;        120 ;  33822 ; saida
 1326105 ;    5411 ;    S   ;        120 ;      ? ; entrada
 1326118 ;    5681 ;    N   ;        400 ;      ? ; entrada
 1326146 ;    5681 ;    N   ;        400 ;  40526 ; saida
 1326208 ;    5389 ;    S   ;        360 ;  98035 ; saida
 1326270 ;    5411 ;    S   ;        120 ;  97257 ; saida
 1326305 ;    5396 ;    S   ;        280 ;      ? ; entrada
 1326376 ;    5706 ;    S   ;        200 ;      ? ; entrada
 1326679 ;    5706 ;    S   ;        200 ;  28765 ; saida
 1326711 ;    5726 ;    S   ;        200 ;  26892 ; saida
 1326782 ;    5396 ;    S   ;        280 ;  98417 ; saida
 1327638 ;    5699 ;    S   ;        400 ;      ? ; entrada
 1327674 ;    5781 ;    S   ;        320 ;      ? ; entrada
 1327921 ;    5634 ;    N   ;        120 ;      ? ; entrada
 1328089 ;    5762 ;    S   ;        120 ;      ? ; entrada
 1328139 ;    5762 ;    S   ;        120 ;  19740 ; saida
 1328265 ;    5763 ;    S   ;        320 ;      ? ; entrada
